3_Jn}0026	 	ImplementationLongfall	1	80940	B	Aug 23 2010  2:29:24:000PM	Aug 23 2010  2:45:49:000PM	10470	10470	0.0	3MI04T18@S80940@PAlgoBox CHEUVREUX@C:O:890508		Y	1
594869410	1	14	CP1A8N00BC000	20100823-15644580	B	Aug 23 2010  2:37:42:000PM	Z	608.0	19.969999999999999	437.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594869410	2	14	CP1A8N00BC001	20100823-15644580	B	Aug 23 2010  2:37:43:000PM	C	1058.0	19.969999999999999	437.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594874985	1	14	CP1A8N00Bt000	20100823-15801708	B	Aug 23 2010  2:40:43:000PM	I	1057.0	19.960000000000001	1057.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594874985	1	14	CP1A8N00Bt000	20100823-15801708	B	Aug 23 2010  2:40:56:000PM	Z	173.0	19.960000000000001	884.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594874985	1	14	CP1A8N00Bt000	20100823-15801708	B	Aug 23 2010  2:41:27:000PM	Z	798.0	19.960000000000001	86.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594874985	2	14	CP1A8N00Bt001	20100823-15801708	B	Aug 23 2010  2:41:28:000PM	C	1057.0	19.960000000000001	86.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594878263	1	14	CP1A8N00CO000	20100823-15956445	B	Aug 23 2010  2:43:59:000PM	I	1087.0	19.899999999999999	1087.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594878263	1	14	CP1A8N00CO000	20100823-15956445	B	Aug 23 2010  2:44:03:000PM	Z	1087.0	19.899999999999999	0.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594878387	1	14	CP1A8N00CU000	20100823-15973664	B	Aug 23 2010  2:44:10:000PM	I	1053.0	19.879999999999999	1053.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594878387	1	14	CP1A8N00CU000	20100823-15973664	B	Aug 23 2010  2:44:53:000PM	Z	1053.0	19.879999999999999	0.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594882271	1	14	CP1A8N00D8001	20100823-16062142	B	Aug 23 2010  2:45:18:000PM	U	1062.0	19.879999999999999	1062.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594882271	1	14	CP1A8N00D8001	20100823-16062142	B	Aug 23 2010  2:45:49:000PM	Z	1062.0	19.879999999999999	0.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594882275	1	14	CP1A8N00DG000	20100823-16097637	B	Aug 23 2010  2:45:49:000PM	I	60.0	20.280000000000001	60.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594882275	1	14	CP1A8N00DG000	20100823-16097637	B	Aug 23 2010  2:45:49:000PM	Z	60.0	19.890000000000001	0.0	R	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594882405	1	14	CP1A8N00Ck000	20100823-16024530	B	Aug 23 2010  2:44:54:000PM	I	1079.0	19.870000000000001	1079.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594882405	1	14	CP1A8N00Ck000	20100823-16024530	B	Aug 23 2010  2:44:58:000PM	Z	300.0	19.870000000000001	779.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594882405	1	14	CP1A8N00Ck000	20100823-16024530	B	Aug 23 2010  2:45:02:000PM	Z	779.0	19.870000000000001	0.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
